cost,rmse,lag_ms,quiet_rms,acc_gain,acc_alpha,q_z,q_vz,r_z,vel_obs,vel_alpha,r_vz
3.648899074094016,1.4245582411870343,100.00500000000301,2.0693309511626765,0.35,0.18,15.0,400.0,12.5,1,0.35,150.0
3.648910791370774,1.4267685700429527,100.00500000000301,2.063049203793647,0.2,0.18,25.0,300.0,12.5,1,0.55,200.0
3.648954591596707,1.4523342472514862,100.00500000000301,1.99012955527193,0.35,0.35,15.0,400.0,25.0,1,0.35,200.0
3.6494791246975864,1.4109517341244482,100.00500000000301,2.10986397306598,0.1,0.12,15.0,300.0,12.5,1,0.55,150.0
3.6496437786658453,1.4099807547027927,100.00500000000301,2.113108639894307,0.1,0.12,25.0,400.0,12.5,1,0.55,200.0
3.649872016331477,1.4213853784038772,100.00500000000301,2.081176108364443,0.1,0.12,25.0,600.0,25.0,1,0.35,200.0
3.649985389192935,1.4191656452918986,100.00500000000301,2.0878421254314037,0.1,0.12,40.0,600.0,12.5,1,0.35,200.0
3.6508974920680375,1.3798362995175308,100.00500000000301,2.2028176930013195,0.2,0.18,40.0,600.0,25.0,1,0.55,200.0
3.6510285349289195,1.3896966974691995,100.00500000000301,2.175019535599071,0.1,0.18,15.0,400.0,25.0,1,0.55,150.0
3.6513223698704347,1.4255504799584837,100.00500000000301,2.073419685462588,0.2,0.12,15.0,400.0,12.5,1,0.35,150.0
3.65157205049976,1.4412620481253995,100.00500000000301,2.0292428639266156,0.35,0.18,15.0,600.0,12.5,1,0.55,350.0
3.6517377707185847,1.407575701343119,100.00500000000301,2.1259630553583446,0.1,0.18,40.0,400.0,25.0,1,0.55,200.0
3.651914239048877,1.398166670500345,100.00500000000301,2.1533501958528194,0.35,0.12,40.0,600.0,25.0,1,0.35,150.0
3.652006329999087,1.3855072879168548,100.00500000000301,2.1897829773776762,0.2,0.18,40.0,400.0,25.0,1,0.55,150.0
3.6520150187947715,1.3930514823073945,100.00500000000301,2.168252961392377,0.1,0.12,15.0,400.0,12.5,1,0.55,150.0
3.653179252590494,1.4087709566953515,100.00500000000301,2.126666559700279,0.1,0.18,25.0,300.0,25.0,1,0.55,150.0
3.653381041882133,1.466161238194783,100.00500000000301,1.9632708676780137,0.35,0.35,25.0,600.0,12.5,1,0.35,350.0
3.6534660569099797,1.4518898346617453,100.00500000000301,2.004289206423398,0.35,0.35,25.0,300.0,12.5,1,0.35,150.0
3.6535621319289415,1.4076655554875188,100.00500000000301,2.1309187898325077,0.1,0.18,40.0,300.0,12.5,1,0.55,150.0
3.654350594810868,1.4513877652244418,100.00500000000301,2.0082509416753753,0.35,0.35,40.0,400.0,12.5,1,0.35,200.0
3.654447894496904,1.4050450492861628,100.00500000000301,2.1409367006019875,0.2,0.18,40.0,300.0,25.0,1,0.55,150.0
3.6545290598564795,1.417384229657723,100.00500000000301,2.1059138005677465,0.2,0.12,40.0,600.0,25.0,1,0.35,200.0
3.654713381528146,1.454029144546205,100.00500000000301,2.001740677091131,0.35,0.35,25.0,400.0,25.0,1,0.35,200.0
3.65498848510393,1.4147686875940368,100.00500000000301,2.1146994214567076,0.1,0.12,15.0,400.0,25.0,1,0.55,200.0
3.6551812949531985,1.3929645433603772,100.00500000000301,2.177547861693646,0.2,0.12,15.0,400.0,12.5,1,0.55,150.0
3.655453886835634,1.4328336012023426,100.00500000000301,2.0644151018092742,0.2,0.18,15.0,300.0,25.0,1,0.55,200.0
3.6556636239249314,1.3861048383340926,100.00500000000301,2.198525101687983,0.1,0.18,25.0,600.0,25.0,1,0.55,200.0
3.656465441939178,1.4241917999099014,100.00500000000301,2.0919961200835187,0.1,0.12,40.0,600.0,25.0,1,0.35,200.0
3.656959112028749,1.3778626184977762,100.00500000000301,2.225775695802651,0.1,0.35,15.0,600.0,12.5,1,0.55,150.0
3.6569810553069466,1.3919397285786392,100.00500000000301,2.1856180763664645,0.1,0.18,25.0,400.0,25.0,1,0.55,150.0
3.6574147177557594,1.3861240265544659,100.00500000000301,2.2034734034321386,0.1,0.18,40.0,600.0,12.5,1,0.55,200.0
3.6578462194591177,1.45663144804484,100.00500000000301,2.0032564897549503,0.35,0.35,15.0,300.0,25.0,1,0.35,150.0
3.657912847194787,1.3915671614042169,100.00500000000301,2.189344816544357,0.1,0.18,40.0,400.0,12.5,1,0.55,150.0
3.6590321219270465,1.428932221420355,100.00500000000301,2.08578543001899,0.35,0.18,25.0,400.0,12.5,1,0.35,150.0
3.6592704107010596,1.4111535173809495,100.00500000000301,2.137262552343044,0.1,0.18,40.0,300.0,25.0,1,0.55,150.0
3.659544544353044,1.4282520542130994,100.00500000000301,2.089192828971141,0.2,0.12,25.0,600.0,25.0,1,0.55,350.0
3.659674152135988,1.3905944195413298,100.00500000000301,2.1971563788417514,0.1,0.12,25.0,600.0,12.5,1,0.55,200.0
3.659744889991045,1.3972679640886554,100.00500000000301,2.178291216863842,0.35,0.18,25.0,600.0,12.5,1,0.55,200.0
3.6598251798877106,1.4248787452553484,100.00500000000301,2.099632670378049,0.2,0.12,40.0,600.0,12.5,1,0.55,350.0
3.6600129920021534,1.4255326984474732,100.00500000000301,2.0983008387275284,0.35,0.12,15.0,600.0,12.5,1,0.35,200.0
3.6603876517795886,1.3893378453845775,100.00500000000301,2.2027851611284732,0.2,0.12,25.0,600.0,12.5,1,0.55,200.0
3.6604084416848957,1.405180063842149,100.00500000000301,2.157581079550576,0.35,0.18,15.0,400.0,12.5,1,0.55,150.0
3.660664669057518,1.4138213844010399,100.00500000000301,2.1336236704469513,0.2,0.12,25.0,400.0,12.5,1,0.55,200.0
3.660665232695238,1.4148453724255252,100.00500000000301,2.13069960077048,0.2,0.12,15.0,300.0,12.5,1,0.55,150.0
3.6608938888939417,1.45648759516215,100.00500000000301,2.0123751249478476,0.35,0.35,40.0,400.0,25.0,1,0.35,200.0
3.661763211636334,1.430054909683004,100.00500000000301,2.0903808627236717,0.2,0.12,25.0,400.0,12.5,1,0.35,150.0
3.6619373383524136,1.4559360038368334,100.00500000000301,2.016932384330101,0.35,0.35,40.0,300.0,12.5,1,0.35,150.0
3.661990206230979,1.4579746384335326,100.00500000000301,2.0112587651354317,0.35,0.35,25.0,300.0,12.5,1,0.55,200.0
3.6620243603563645,1.415969623243013,100.00500000000301,2.131370677466589,0.1,0.12,25.0,300.0,12.5,1,0.55,150.0
3.6623130383965363,1.457982648062382,100.00500000000301,2.0121582580974553,0.35,0.35,25.0,300.0,25.0,1,0.35,150.0
3.6625991831056646,1.432575757599689,100.00500000000301,2.085566930016945,0.2,0.18,40.0,300.0,12.5,1,0.55,200.0
3.662824160928719,1.3943333319543874,100.00500000000301,2.1954737970693903,0.1,0.18,40.0,400.0,25.0,1,0.55,150.0
3.66296723455281,1.434970138832415,100.00500000000301,2.0797774163438585,0.2,0.18,25.0,300.0,25.0,1,0.55,200.0
3.662991395525455,1.4174825743721013,100.00500000000301,2.1298109175808806,0.1,0.12,25.0,400.0,25.0,1,0.55,200.0
3.6631076345702023,1.3891789009100752,100.00500000000301,2.211010667600234,0.1,0.18,40.0,600.0,25.0,1,0.55,200.0
3.6632707752636637,1.4776418327852419,100.00500000000301,1.9587255499382188,0.35,0.35,15.0,600.0,25.0,1,0.35,350.0
3.663505761720868,1.4159769339071562,100.00500000000301,2.1355823651819046,0.1,0.12,40.0,400.0,12.5,1,0.55,200.0
3.6635072114569565,1.3935269148136296,100.00500000000301,2.1997294189808043,0.1,0.12,15.0,600.0,25.0,1,0.55,200.0
3.6635495375267695,1.433465884855281,100.00500000000301,2.085739007632696,0.35,0.18,15.0,400.0,25.0,1,0.35,150.0
3.6636141102622615,1.400072236444179,100.00500000000301,2.1813339251943926,0.35,0.18,15.0,600.0,25.0,1,0.55,200.0
3.6640728147834856,1.3980642114140698,100.00500000000301,2.188381723912487,0.1,0.12,25.0,400.0,12.5,1,0.55,150.0
3.6644226432757163,1.3923445185335102,100.00500000000301,2.2057232135490326,0.2,0.12,15.0,600.0,25.0,1,0.55,200.0
3.664441546236669,1.380574569872303,100.00500000000301,2.239405646755201,0.2,0.18,15.0,600.0,12.5,1,0.55,150.0
3.6662684188317356,1.419667137930742,100.00500000000301,2.132932231145567,0.1,0.12,15.0,300.0,25.0,1,0.55,150.0
3.66634881934239,1.4347348609269746,100.00500000000301,2.090111309758201,0.2,0.12,15.0,400.0,25.0,1,0.35,150.0
3.6664374180049117,1.4188015567102943,100.00500000000301,2.1358881751273495,0.2,0.12,15.0,400.0,25.0,1,0.55,200.0
