time_s,flow_x_cm,flow_y_cm,flow_vx_cm_s,flow_vy_cm_s,obs_vx_cm_s,obs_vy_cm_s,logged_ekf_x_cm,logged_ekf_y_cm,logged_ekf_vx_cm_s,logged_ekf_vy_cm_s,replay_x_cm,replay_y_cm,replay_vx_cm_s,replay_vy_cm_s,replay_used,replay_rejected,replay_innov_x_cm_s,replay_innov_y_cm_s
2.120134,-67.870000,-74.490000,5.700000,-3.900000,0.000000,0.000000,-61.070000,-114.400000,7.400000,-5.700000,-69.407555,-71.286994,7.866587,-6.925559,1.000000,0.000000,-9.360395,8.240673
2.140137,-67.750000,-74.490000,5.700000,-2.700000,5.800000,0.000000,-60.920000,-114.520000,7.200000,-4.900000,-69.250199,-71.425526,7.547015,-5.854606,1.000000,0.000000,-2.066587,6.925559
2.160137,-67.410000,-74.390000,9.000000,-0.300000,16.800000,5.100000,-60.770000,-114.620000,8.500000,-3.500000,-69.099259,-71.542618,8.944982,-4.199553,1.000000,0.000000,9.252985,10.954606
2.180140,-66.850000,-74.500000,14.700000,-1.900000,27.800000,-5.700000,-60.600000,-114.690000,11.300000,-3.800000,-68.920333,-71.626622,11.745246,-4.422393,1.000000,0.000000,18.855018,-1.500447
2.200141,-66.230000,-74.640000,19.700000,-3.400000,31.400000,-6.800000,-60.380000,-114.760000,14.100000,-4.200000,-68.685416,-71.715074,14.627587,-4.771066,1.000000,0.000000,19.654754,-2.377607
2.220140,-65.680000,-74.930000,22.000000,-6.600000,27.400000,-14.200000,-60.090000,-114.850000,16.000000,-5.600000,-68.392879,-71.810491,16.483227,-6.140949,1.000000,0.000000,12.772413,-9.428934
2.240144,-65.680000,-74.930000,15.400000,-4.600000,0.000000,0.000000,-59.770000,-114.960000,13.700000,-4.800000,-68.063148,-71.933334,14.104828,-5.254859,1.000000,0.000000,-16.483227,6.140949
2.260143,-65.680000,-74.930000,10.800000,-3.200000,0.000000,0.000000,-59.500000,-115.060000,13.700000,-4.800000,-67.781066,-72.038426,14.104828,-5.254859,0.000000,0.000000,-14.104828,5.254859
2.280144,-65.680000,-75.070000,7.500000,-4.300000,0.000000,-6.900000,-59.220000,-115.160000,11.500000,-5.200000,-67.498955,-72.143528,11.843255,-5.518641,1.000000,0.000000,-14.104828,-1.645141
2.300144,-65.680000,-74.770000,5.300000,1.300000,0.100000,14.600000,-58.990000,-115.260000,9.800000,-2.100000,-67.262090,-72.253901,10.021024,-2.396780,1.000000,0.000000,-11.743255,20.118641
2.320148,-65.680000,-74.770000,3.700000,0.900000,0.000000,0.000000,-58.790000,-115.300000,8.300000,-1.800000,-67.061630,-72.301846,8.503126,-2.033736,1.000000,0.000000,-10.021024,2.396780
2.340148,-65.370000,-74.770000,7.200000,0.600000,15.400000,-0.100000,-58.630000,-115.340000,9.300000,-1.500000,-66.891567,-72.342521,9.529344,-1.746007,1.000000,0.000000,6.896874,1.933736
2.360150,-64.750000,-74.620000,14.300000,2.700000,30.800000,7.800000,-58.440000,-115.370000,12.500000,-0.100000,-66.700961,-72.377445,12.652994,-0.344151,1.000000,0.000000,21.270656,9.546007
2.380151,-63.840000,-74.720000,23.600000,0.400000,45.300000,-5.100000,-58.190000,-115.380000,17.200000,-0.900000,-66.447889,-72.384328,17.401037,-1.035822,1.000000,0.000000,32.647006,-4.755849
2.400151,-62.850000,-74.920000,31.300000,-2.700000,49.400000,-10.100000,-57.840000,-115.390000,21.900000,-2.200000,-66.099868,-72.405045,22.021655,-2.344680,1.000000,0.000000,31.998963,-9.064178
2.420154,-62.220000,-75.350000,31.400000,-8.300000,31.700000,-21.300000,-57.400000,-115.440000,23.300000,-4.900000,-65.659369,-72.451945,23.411871,-5.067459,1.000000,0.000000,9.678345,-18.955320
2.460155,-62.220000,-75.610000,15.400000,-8.000000,-0.100000,-13.200000,-56.540000,-115.620000,17.100000,-5.500000,-64.722870,-72.654649,19.652733,-6.367711,1.000000,0.000000,-23.511871,-8.132541
2.480155,-62.220000,-75.650000,10.700000,-6.200000,0.000000,-2.000000,-56.190000,-115.730000,14.600000,-5.000000,-64.329816,-72.782003,16.609592,-5.691389,1.000000,0.000000,-19.652733,4.367711
2.500156,-62.580000,-75.650000,2.200000,-4.300000,-17.700000,0.100000,-55.900000,-115.840000,10.000000,-4.300000,-63.997607,-72.895836,11.420836,-4.815538,1.000000,0.000000,-34.309592,5.791389
2.520158,-62.510000,-75.650000,2.500000,-3.000000,3.400000,0.000000,-55.700000,-115.920000,9.100000,-3.600000,-63.769168,-72.992157,10.228748,-4.099834,1.000000,0.000000,-8.020836,4.815538
2.560159,-61.500000,-75.770000,13.400000,-4.600000,17.700000,-21.700000,-55.270000,-116.010000,13.200000,-3.800000,-63.360008,-73.156154,11.449432,-6.975422,1.000000,0.000000,7.471252,-17.600166
2.580162,-61.510000,-76.490000,9.300000,-14.000000,-0.300000,-36.000000,-55.000000,-116.090000,11.200000,-8.400000,-63.130985,-73.295684,9.600753,-11.542206,1.000000,0.000000,-11.749432,-29.024578
2.600164,-60.900000,-77.040000,15.500000,-18.000000,30.200000,-27.300000,-54.780000,-116.260000,13.900000,-11.100000,-62.938950,-73.526551,12.753030,-13.953602,1.000000,0.000000,20.599247,-15.757794
2.620165,-60.900000,-77.040000,10.900000,-12.600000,0.000000,0.000000,-54.500000,-116.480000,12.000000,-9.500000,-62.683877,-73.805637,10.841065,-11.861644,1.000000,0.000000,-12.753030,13.953602
2.640164,-61.160000,-77.030000,3.700000,-8.800000,-13.000000,0.100000,-54.260000,-116.670000,8.400000,-8.100000,-62.467067,-74.042858,7.320453,-10.095267,1.000000,0.000000,-23.841065,11.961644
2.660167,-61.460000,-77.130000,-1.800000,-7.600000,-14.600000,-4.800000,-54.090000,-116.840000,5.100000,-7.700000,-62.320636,-74.244793,4.119320,-9.321977,1.000000,0.000000,-21.920453,5.295267
